Plate,State,License Type,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Penalty Amount,Interest Amount,Reduction Amount,Payment Amount,Amount Due,Precinct,County,Issuing Agency,Violation Status,Summons Image
2824372,ME,PAS,1438400858,06/05/2018,08:01A,DETACHED TRAILER,,45.00,10.00,0.00,0.00,0.00,55.00,094,K,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVrOUVVWGROUkdjeFQwRTlQUT09&locationName=_____________________)
HJV7825,NY,PAS,8836263331,09/25/2020,04:11P,INSP STICKER-MUTILATED/C'FEIT,,65.00,0.00,0.00,0.00,65.00,0.00,045,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpOZWsxNlRWRTlQUT09&locationName=_____________________)
DER4535,NY,PAS,8776509333,03/12/2020,04:01P,FAIL TO DSPLY MUNI METER RECPT,,35.00,0.00,0.00,0.00,35.00,0.00,104,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak0wNXFWWGRQVkUxNlRYYzlQUT09&locationName=_____________________)
2824678,ME,PAS,1438400860,06/05/2018,08:04A,DETACHED TRAILER,,45.00,10.00,0.00,0.00,0.00,55.00,094,K,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVrOUVVWGROUkdjeVRVRTlQUT09&locationName=_____________________)
FGL8719,QB,PAS,1438400895,05/05/2018,08:30A,NO STANDING-DAY/TIME LIMITS,,115.00,10.00,0.00,0.00,0.00,125.00,094,K,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVrOUVVWGROUkdjMVRsRTlQUT09&locationName=_____________________)
638380,NY,PAS,8836263835,09/28/2020,11:35A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,052,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpOZW1kNlRsRTlQUT09&locationName=_____________________)
TTX42Y,NJ,PAS,8836264323,09/30/2020,11:25A,NO STANDING-BUS STOP,,115.00,0.00,0.00,0.00,115.00,0.00,040,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpPUkUxNVRYYzlQUT09&locationName=_____________________)
84079MK,NY,COM,8836264207,09/29/2020,01:28P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,048,BX,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpPUkVsM1RuYzlQUT09&locationName=_____________________)
GPW2531,NY,PAS,8836264268,09/29/2020,01:56P,INSP STICKER-MUTILATED/C'FEIT,,65.00,0.00,0.00,0.00,65.00,0.00,048,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpPUkVreVQwRTlQUT09&locationName=_____________________)
TY06688,PA,PAS,1438401231,04/22/2018,09:21A,STORAGE-3HR COMMERCIAL,,65.00,10.00,0.00,0.00,0.00,75.00,094,K,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVrOUVVWGROVkVsNlRWRTlQUT09&locationName=_____________________)
